Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
08/03/2012,"35 ROWAN PARK, LISMONAGHAN, LETTERKENNY",,Donegal,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/03/2015,"23 STRAND PALACE, YOUGHAL, CORK",,Cork,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/04/2015,"56 Rinawade Vale, Leixlip",,Kildare,"€331,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/02/2016,"12 THE PADDOCKS, GOREY, WEXFORD",,Wexford,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2016,"10 COACHYARD MANOR, ENFIELD, COUNTY MEATH",,Meath,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2014,"4 Maplesprings, Ballytruckle",,Waterford,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/01/2010,"45 Harolds Cross Cottages, Harolds Cross",Dublin 6w,Dublin,"€266,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/09/2021,"12 WICKLOW HEIGHTS COURT, WICKLOW",,Wicklow,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2019,"7 BROOKSIDE, CLOONFAD, COUNTY ROSCOMMON",,Roscommon,"€12,500.00",No,No,Second-Hand Dwelling house /Apartment,
07/02/2011,"509 The Liffey Trust, 117 - 126 Upper Sheriff Street",,Dublin,"€195,000.00",Yes,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/09/2016,"29 SILVERDALE AVE, BLACKROCK, CORK",,Cork,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/03/2019,"ROSEBANK COTTAGE, DUGORT, ACHILL",,Mayo,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/03/2013,"29 Thorndale, Bree, Castleblayney",,Monaghan,"€112,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/12/2018,"213 SEAPARK, COAST RD, MALAHIDE",,Dublin,"€705,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2021,"APT 210 THE WILLOWS, BOREENAMANNA RD, THE WILLOWS",,Cork,"€246,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2011,"18 Clonminch Ave, Tullamore",,Offaly,"€158,590.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
13/02/2020,"5 White Pines Glade, White Pines  Stocking Ave, Rathfarnham",Dublin 16,Dublin,"€387,665.00",No,Yes,New Dwelling house /Apartment,
26/03/2020,"COPPERFIELD, NEW RD, GREYSTONES",,Wicklow,"€785,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2021,"GRANGES RD, KILKENNY",,Kilkenny,"€600,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2015,"CNOCKNAMUREOG, DOWNINGS, DONEGAL",,Donegal,"€192,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2014,"Apt 9  Bishops Court, Troys Gate, Kilkenny",,Kilkenny,"€51,428.33",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/11/2017,"4 CHURCHWOOD, MONALEEN ROAD, MONALEEN",,Limerick,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2010,"47 Oak Downs, Greenpark, Clondalkin",,Dublin,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2019,"92 MOUNT TALBOTS, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"€201,436.70",No,No,Second-Hand Dwelling house /Apartment,
08/01/2014,"2 FARRANKELLY CLOSE, DELGANY CO WICKLOW",,Wicklow,"€117,690.00",Yes,No,Second-Hand Dwelling house /Apartment,
02/12/2019,"BALLYTEAGUE, KILMEAGUE, NAAS",,Kildare,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/05/2018,"TINVOHER, LOUGHMORE, THURLES",,Tipperary,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/07/2021,"LAUREL WALK, BANDON, CORK",,Cork,"€187,500.00",No,No,Second-Hand Dwelling house /Apartment,
16/03/2016,"13 GLENCARNEY DRIVE, KENMARE, COUNTY KERRY",,Kerry,"€120,500.00",No,No,Second-Hand Dwelling house /Apartment,
15/08/2014,"53A BINN EADAIR VIEW, SUTTON, DUBLIN",Dublin 13,Dublin,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/05/2011,"74 Creig na Coille, Oughterard",,Galway,"€136,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/05/2016,"MAIN STREET, RATHDOWNEY, COUNTY LAOIS",,Laois,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2021,"9 LIOSARDA, LISTOWEL, CO. KERRY",,Kerry,"€54,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
19/10/2018,"APARTMENT 6, 31 HOLLYBANK ROAD, DRUMCONDRA",,Dublin,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2014,"22 Central Park, Mullingar",,Westmeath,"€192,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/03/2020,"HYDRA, SPA HOTEL GROUNDS, LUCAN",,Dublin,"€695,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/09/2020,"21 CARRAIG GEAL, LOUGHREA, GALWAY",,Galway,"€168,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2021,"24 SLI AN CLAIRIN, ATHENRY, GALWAY",,Galway,"€327,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/06/2019,"8 ATLANTIC COVE, ARD NA MARA, LAHINCH",,Clare,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2010,"Apt 1 Linden Court, Blackrock",,Dublin,"€395,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2015,"APT 3, 11 HARCOURT TERRACE, DUBLIN 2",Dublin 2,Dublin,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2012,"KILNACROTT ABBEY, KILNACROTT",,Cavan,"€540,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2018,"7  Green Avenue, Friary Walk, Callan",,Kilkenny,"€195,000.00",No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/07/2019,"49 CLONARD ROAD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/02/2013,"77 Ward Hall, New Row Square, Dublin 8",,Dublin,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/09/2018,"9 ST RIOCHS COURT, ST RIOCHS ST, KILKENNY",,Kilkenny,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/01/2015,"36 RUSSELL TERRACE, KETTLES LANE, KINSEALY",,Dublin,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2015,"12 JOCELYN STREET, DUNDALLK",,Louth,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2017,"273 MOURNE RD DRIMNAGH, DUBLIN 12, DUBLIN",Dublin 15,Dublin,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/03/2018,"APT 7 CARRIAGE COURT, DUBLIN ROAD, CO LIMERICK",,Limerick,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2019,"WOODBINE HOUSE, WATERUNDER, DROGHEDA",,Louth,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/02/2021,"117 WAINSFORT RD, TERENURE, DUBLIN 6W",,Dublin,"€651,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2015,"17 Thorndale, Bree, Castleblayney",,Monaghan,"€117,444.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/08/2016,"APT 81, THE VILLAGE, CLARION RD",,Sligo,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/07/2014,"DYSART, ARDMORE, CO WATERFORD",,Waterford,"€291,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/02/2015,"13 THORNVILLE ROAD, KILBARRACK, DUBLIN 5",,Dublin,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/10/2020,"SCARTEEN LOWER, NEWMARKET, COUNTY CORK",,Cork,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2012,"28 The Brambles, Huntsfield, Dooradoyle",,Limerick,"€247,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2013,"7 Eldred Terrace and Lands Skahabeg, Skahabeg, Saint Nicholas",,Cork,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/05/2014,"11 NEWBERRY PARK, NEWBERRY, EDENDERRY",,Offaly,"€68,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/03/2010,"Ballywilliam, Enniscorthy",,Wexford,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2018,"17  Ceathru An Tobair, The Heron, Maree Road",,Galway,"€268,722.47",No,Yes,New Dwelling house /Apartment,
30/05/2017,"38 Ryebridge Green, Kilcock",,Kildare,"€233,480.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/02/2017,"20 Cluain Mullan, Green Street, Castlepollard",,Westmeath,"€118,942.72",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
07/11/2017,"BARRY, KEENAGH, LONGFORD",,Longford,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2018,"10 The Elm, The Retreats, Park Hotel",,Kerry,"€447,637.00",No,Yes,New Dwelling house /Apartment,
05/11/2014,"28 MANORFIELDS VIEW, CLONEE, DUBLIN 15",Dublin 15,Dublin,"€123,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
18/12/2014,"1 BEECHFIELD COURT, CASTAHEANY, DUBLIN 15",Dublin 15,Dublin,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2015,"NO. 81 MONKSFIELD, CLONEA ROAD, ABBEYSIDE  DUNGARVAN",,Waterford,"€175,666.30",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/12/2021,"184 KIMMAGE ROAD WEST, DUBLIN 12",Dublin 12,Dublin,"€720,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2013,"36 PINEBROOK HEIGHTS, HARTSTOWN, CLONSILLA DUBLIN 15",,Dublin,"€112,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/06/2010,"4 Somerton, Donabate",,Dublin,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/03/2014,"5A CHESTNUT GROVE, MALLOW, CO CORK",,Cork,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/07/2014,"36 SPRINGVALE, EDMONDSTOWN RD, RATHFARNHAM DUBLIN 16",Dublin 16,Dublin,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2016,"10 ROWAN LANE, BALLINVRAGNOSIG, RIVERSTICK",,Cork,"€490,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2016,"APT 5, RIVERWALK APTS, ARKLOW",,Wicklow,"€66,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/09/2021,"17 ASHWOOD WAY, CLONDALKIN, DUBLIN",Dublin 22,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2021,"LITTLE ISLAND, DAINGEAN, OFFALY",,Offaly,"€112,500.00",No,No,Second-Hand Dwelling house /Apartment,
14/11/2014,"48 BUTTERFIELD AVE, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,"€146,700.00",No,No,Second-Hand Dwelling house /Apartment,
23/12/2021,"37 THE AVENUE, ROYAL OAKS, ENFIELD",,Meath,"€339,207.00",No,Yes,New Dwelling house /Apartment,
24/08/2010,"9 Rockfield Park, Kilmacanogue",,Wicklow,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2020,"BRENMAR, BALLYWILLIAM, GOREY",,Wexford,"€283,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/08/2015,"AN GRIANAN, CREGG, GLANDORE",,Cork,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/08/2013,"Caherbreagh, Tralee",,Kerry,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/07/2020,"31 BLUEBERRY HILL, ESKER HILLS, RIDGE ROAD",,Laois,"€141,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2011,"13 Kennelsfort Road, Palmerstown, Dublin 20",,Dublin,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2020,"HEATHMOUNT, GALLOWS HILL, CRATLOE",,Clare,"€329,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2021,"80 BLASKET SQ, WATERVILLE, BLANCHARDSTOWN DUBLIN 15",Dublin 15,Dublin,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/10/2015,"24 HILLVIEW, KILMONEY RD, CARRIGALINE",,Cork,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/10/2017,"31 ST ANNES RD, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/03/2016,"1 DISTILLERY LANE, ASHWALK, ARDEE",,Louth,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/04/2018,"60 lonview avenue, millers glen, swords",,Dublin,"€282,258.04",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
02/03/2012,"Apartment 7 Tailteann Court, Mullingar",,Westmeath,"€65,418.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/02/2010,"92 CLARKE ROAD, WATERFORD",,Waterford,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/04/2015,"64 KILTERAGH, DOORADOYLE, LIMERICK",,Limerick,"€148,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2010,"Apartment 27 Block E, Oakley Court, Oakley Road Ranelagh",Dublin 6,Dublin,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/06/2021,"32 CASTLECURRACH HEATH, MULHUDDART, DUBLIN 15",Dublin 15,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/11/2015,"2 Marino Green, Marino, Dublin 3",Dublin 3,Dublin,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2014,"1A MOOREFIELD RD, NEWBRIDGE, KILDARE",,Kildare,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/03/2021,"AN TIGH TUAITHE, CASTLEINCH, OVENS",,Cork,"€159,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/08/2015,"43 Griffith Avenue, Drumcondra",Dublin 9,Dublin,"€490,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/08/2010,"Kilrory, Mill Road, Corbally",,Limerick,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2015,"79 ST KIERANS CRESCENT, KILKENNY, KILKENNY",,Kilkenny,"€78,614.00",Yes,No,Second-Hand Dwelling house /Apartment,
05/11/2021,"24 AMBERWOOD, BALLIVOR, MEATH",,Meath,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/12/2018,"1 DEERPARK, CARRIG DUBH, BUNCLODY",,Carlow,"€180,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
04/09/2020,"257 CASTLECURRAGH HEATH, DUBLIN",Dublin 15,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2020,"12 LITTLE MEADOW, POTTERY RD, DUNLAOGHAIRE",,Dublin,"€493,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/10/2016,"5 HOWLEY COURT, STEAMBOAT QUAY, DOCK RD",,Limerick,"€73,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/01/2019,"6 BARKER ST, WATERFORD, WATERFORD",,Waterford,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2021,"217 ROSAN GLAS, RAHOON RD, GALWAY",,Galway,"€357,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/06/2020,"29 WILLOW WOOD LAWN, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/09/2021,"BALLYIRISTON, CLOONEY, CO DONEGAL",,Donegal,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2016,"63 CNOC NA GAOITHE, LANESBORO, LONGFORD",,Longford,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/07/2019,"35 ELMCASTLE DR, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/12/2013,"29 ASHFIELD COURT, MULHUDDART, DUBLIN 15",,Dublin,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/03/2018,"STATION RD, STATION MASTERS COTTAGE, DULEEK",,Meath,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2019,"LACKAREAGH, BALTINGLASS, WICKLOW",,Wicklow,"€241,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/07/2011,"No. 20 Distillery Court, Drogheda Row, Monasterevin",,Kildare,"€120,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/06/2017,"35 FLAXFIELDS, CONVOY, DONEGAL",,Donegal,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2019,"12 DRUMMANY FORT, BUTLERSBRIDGE, CAVAN",,Cavan,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2016,"COURT SQ, STRADBALLY, LAOIS",,Laois,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/10/2016,"31 MILLMOUNT, KILMALLOCK, CO LIMERICK",,Limerick,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2018,"26 KILCREA PARK, MAGAZINE RD, CORK",,Cork,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2014,"21C RANELAGH AVENUE, DUBLIN 6",,Dublin,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/12/2014,"22 BARROWMOUNT DR, GORESBRIDGE, KILKENNY",,Kilkenny,"€68,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/04/2021,"62 CHURCHFIELDS, DUNDRUM RD, MILLTOWN",Dublin 14,Dublin,"€580,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/06/2015,"56 Ross Avenue, Bundoran",,Donegal,"€92,511.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/04/2021,"ROSE COTTAGE THE MAWS, KILCOCK, KILDARE",,Kildare,"€334,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/09/2021,"74 BRIDGEWATER QUAY, CUNNINGHAM ROAD, DUBLIN 8",,Dublin,"€342,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/07/2017,"19 RICHMOND HALL, MOUNT ST ANNES, MILLTOWN DUBLIN 6",Dublin 6,Dublin,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2018,"14 WESTBOURNE LAWNS, CLONDALKIN DUBLIN 22, DUBLIN",Dublin 22,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/02/2010,"No 9 The Steeples, Gowran",,Kilkenny,"€183,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2014,"169 Beechdale, Dunboyne",,Meath,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2021,"28 SWORDS ST, DUBLIN 7, DUBLIN",Dublin 7,Dublin,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2017,"62 GLENBROOK PARK, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,"€695,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/07/2016,"5 CRICKET COURT, DUNMORE RD, TUAM",,Galway,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2014,"183 evanwood, golf links road, castletroy",,Limerick,"€134,361.23",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/10/2016,"ARD NA MARA, FENNELLS BAY, CROSSHAVEN",,Cork,"€25,740.00",Yes,No,Second-Hand Dwelling house /Apartment,
30/09/2020,"2 RAILWAY MEWS, PORTARLINGTON, LAOIS",,Laois,"€154,160.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2014,"12 LANSDOWNE COURT, SHELBOURNE RD, DUBLIN 4",Dublin 4,Dublin,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/12/2011,"73 Clonsilla Road, Blanchardstown, Dublin 15",,Dublin,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/07/2018,"16 CLUAININ, TULLYVARAGA, SHANNON",,Clare,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/02/2020,"9 RIVERSIDE COURT, RIVERSIDE GRANBY ROW, CARLOW",,Carlow,"€87,500.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2018,"34 Ashfield Avenue, Ridgewood, Swords",,Dublin,"€427,312.00",No,Yes,New Dwelling house /Apartment,
05/08/2011,"313 Castlecurragh Heath, Mullhuddart",,Dublin,"€114,950.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2017,"13 SEA BREEZE HEIGHTS, CLONAKILTY, CORK",,Cork,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2017,"55 DALCASSIAN DOWNS, GLASNEVIN, DUBLIN 11",Dublin 11,Dublin,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/08/2017,"4 Landen Park, Oldtown Demesne, Naas",,Kildare,"€365,639.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/01/2014,"114 SEAPARK, MOUNT PROSPECT AVE, CLONTARF DUBLIN 3",,Dublin,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/09/2016,"80 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW",,Carlow,"€162,462.56",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
15/06/2021,"20 COACHMAN APTS 40 DOMINICK ST, GALWAY, GALWAY",,Galway,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2013,"APT 43, LEONARDS COURT, LOWER CLANBRASSIL ST DUBLIN 8",,Dublin,"€124,285.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2015,"KILKENNY RD, MAIN ST, BALLYLINAN",,Kildare,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/10/2010,"8 Radhard Na Heaglais, Derrinturn",,Kildare,"€157,709.25",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
13/12/2017,"98 CORRAN ARD, ATHY, CO KILDARE",,Kildare,"€148,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
04/11/2021,"248 BEECH PARK, LUCAN, DUBLIN",,Dublin,"€522,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/11/2018,"12 Farm Green, Manor Farm, Lehenaghbeg",,Cork,"€263,417.62",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
27/10/2016,"72 Evanwood, Golf Links Road, Castletroy",,Limerick,"€208,441.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/11/2013,"11 Shielmartin Drive, Sutton",Dublin 13,Dublin,"€510,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2014,"18 ST MARYS AVE, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/10/2017,"55 STRAND PALACE, YOUGHAL, CORK",,Cork,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2016,"1 WILLOW BANK, NEWTOWN, COBH",,Cork,"€89,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/01/2017,"ROOSKEY, THREEMILEHOUSE, MONAGHAN",,Monaghan,"€135,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
30/09/2013,"1 Carolina Terrace, Middle Glanmire Road, Cork",,Cork,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/03/2019,"42 Lisgar Gardens, Bailieborough",,Cavan,"€136,563.00",No,Yes,New Dwelling house /Apartment,
10/02/2017,"8 CORN MILL PARK, BALLYMOTE, MILL PARK",,Sligo,"€86,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2015,"APT 1, KERRY PLACE, JOHN REDMOND STREET",,Cork,"€121,917.00",Yes,No,Second-Hand Dwelling house /Apartment,
26/07/2013,"5 Ardmore Park, Artane",Dublin 5,Dublin,"€236,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/06/2016,"NO 5 CLERMONT COTTAGES, SOUTH DOUGLAS ROAD, CORK",,Cork,"€149,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2020,"CURRAHEEN, GOLF RD, FOXROCK DUBLIN 18",Dublin 18,Dublin,"€1,080,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/08/2011,"Old Road, Ballymacarry, Buncrana",,Donegal,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2016,"91 OHANLON PARK, DUNDALK, LOUTH",,Louth,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/08/2017,"36 Parklands, Youghal",,Cork,"€152,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
11/11/2019,"78 MANYDOWN CLOSE, RED BARNS RD, DUNDALK",,Louth,"€232,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2010,"Cornacrieve, Emyvale",,Monaghan,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/01/2013,"34 Oakdene, Killiney, Co Dublin",,Dublin,"€630,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/10/2017,"116 ABBEYGROVE, NAVAN, MEATH",,Meath,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2016,"Castlerea Road, Roscommon",,Roscommon,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2015,"23 WOODBERRY, GREENFIELDS, KILLUMNEY ROAD",,Cork,"€502,500.00",No,No,Second-Hand Dwelling house /Apartment,
16/07/2019,"AUGHADREENAGH, CROSSKEYS, COUNTY CAVAN",,Cavan,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2011,"3 Wicklow Heights Court, Wicklow Town",,Wicklow,"€115,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/05/2021,"MACNADILLE, CROGHAN, BOYLE",,Roscommon,"€73,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/06/2019,"12 CUILMORE COVE, COOTEHALL, BOYLE",,Roscommon,"€180,000.00",No,Yes,New Dwelling house /Apartment,
19/06/2013,"Reisk, Balincurrig, Leamlara",,Cork,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/02/2012,"Plaster, Mount Pleasant, Dundalk",,Louth,"€302,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/06/2015,"CLARE VIEW COTTAGE, AILLEMORE, LOUISBURGH",,Mayo,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2015,"38 GLEANN EADAN, KILLYCLUG, LETTERKENNY",,Donegal,"€79,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/11/2013,"3 SPRINGWELLS, ENNIS ROAD, GORT",,Galway,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
